batch_id,copy_time_us,kernel_time_us
318,16.864,17.696
319,17.024,18.72
320,16.672,17.696
321,17.44,18.368
322,15.84,19.04
323,17.344,17.696
324,17.216,17.408
325,16.992,18.72
326,17.376,17.408
327,16.704,19.04
328,17.248,17.696
329,17.024,18.72
330,16.928,17.696
331,9.408,11.328
332,17.152,17.728
333,17.056,18.432
334,17.856,18.432
335,17.376,11.232
336,18.208,17.088
337,17.856,18.432
338,17.472,18.4
339,17.952,18.4
340,9.952,18.72
341,17.408,18.432
342,17.472,18.4
343,17.536,18.144
344,17.44,18.432
345,18.016,18.432
346,17.568,18.336
347,17.504,18.432
348,17.568,18.432
349,17.696,18.432
350,17.568,18.4
351,17.664,18.4
352,17.472,18.4
353,17.6,18.432
354,17.376,18.4
355,18.08,18.432
356,17.504,18.432
357,17.664,18.432
358,17.472,18.432
359,17.6,18.432
360,17.312,18.4
361,17.536,18.4
362,17.472,18.432
363,17.6,18.432
364,17.504,18.4
365,17.568,18.432
366,17.472,18.432
367,17.6,18.4
368,17.344,18.432
369,17.28,18.432
370,17.44,18.432
371,17.6,18.432
372,17.376,18.432
373,17.6,18.4
374,17.152,18.4
375,17.984,17.376
376,17.344,18.432
377,17.568,18.432
378,17.376,18.432
379,17.44,18.4
380,17.056,18.4
381,17.952,18.432
382,17.408,18.4
383,17.376,18.784
384,17.088,17.696
385,17.024,17.696
386,15.872,18.944
387,17.024,18.72
388,17.312,17.728
389,16.064,19.04
390,17.216,17.376
391,17.408,17.664
392,16.96,17.696
393,16.768,18.72
394,16.8,17.696
395,17.44,17.696
396,15.904,19.04
397,16.16,19.04
398,17.024,17.536
399,17.376,17.696
400,16.864,19.04
401,16.992,17.696
402,17.856,17.408
403,17.984,18.4
404,17.28,18.4
405,17.504,18.432
406,17.728,17.408
407,17.728,18.336
408,18.208,17.088
409,17.536,11.232
410,17.824,17.376
411,17.472,18.432
412,9.856,17.632
413,17.984,18.432
414,17.856,18.432
415,17.408,18.432
416,17.824,17.408
